2026-02-22 23:18:06 [SUCCESS] nonebot | 2026-02-22 23:18:06 [SUCCESS] nonebot | NoneBot is initializing...
2026-02-22 23:18:06 [INFO] nonebot | 2026-02-22 23:18:06 [INFO] nonebot | Current Env: onebotv11-wsRev
2026-02-22 23:18:06 [DEBUG] nonebot | 2026-02-22 23:18:06 [DEBUG] nonebot | Loaded Config: {'driver': '~fastapi+~httpx+~websockets', 'host': IPv4Address('127.0.0.1'), 'port': 8080, 'log_level': 'INFO', 'api_timeout': 30.0, 'superusers': set(), 'nickname': set(), 'command_start': {'/'}, 'command_sep': {'.'}, 'session_expire_timeout': datetime.timedelta(seconds=120), 'environment': 'onebotv11-wsRev', 'localstore_use_cwd': True, 'onebot_ws_urls': ['ws://127.0.0.1:3001'], 'mbtistats_auto_stats_hour': 0, 'mbtistats_auto_stats_minute': 0, 'analysis_reanalysis_time': 0, 'analysis_display_image': True, 'analysis_enable_search': True, 'analysis_use_on_message': False, 'analysis_trust_env': False, 'ai_enabled': True, 'ai_api_key': 'sk-8d96bd3e257c292b3928a67b9544790eb8e3f0778721dc6380fa3db452fa00c7', 'ai_base_url': 'https://www.hubagi.cn/api/v1', 'ai_model': 'ZP-glm-4.5-flash', 'ai_max_history': 10}
2026-02-22 23:18:06 [DEBUG] nonebot | 2026-02-22 23:18:06 [DEBUG] nonebot | Succeeded to load adapter "QQ"
2026-02-22 23:18:06 [DEBUG] nonebot | 2026-02-22 23:18:06 [DEBUG] nonebot | Succeeded to load adapter "Console"
2026-02-22 23:18:06 [SUCCESS] nonebot | 2026-02-22 23:18:06 [SUCCESS] nonebot | Succeeded to load plugin "nonebot_plugin_apscheduler"
2026-02-22 23:18:06 [DEBUG] nonebot_plugin_mbtistats | 2026-02-22 23:18:06 [DEBUG] nonebot_plugin_mbtistats | [Config] Bot 根目录: F:\devbot\nonebot-plugin-mbtistats-devbot
2026-02-22 23:18:06 [DEBUG] nonebot_plugin_mbtistats | 2026-02-22 23:18:06 [DEBUG] nonebot_plugin_mbtistats | [Config] 数据根目录: F:\devbot\nonebot-plugin-mbtistats-devbot\data\mbtistats
2026-02-22 23:18:06 [INFO] nonebot_plugin_mbtistats | 2026-02-22 23:18:06 [INFO] nonebot_plugin_mbtistats | [AutoStats] 模块加载完成 - DEBUG_MODE=False, RUN_ON_STARTUP=False, SCHEDULE=00:00
2026-02-22 23:18:07 [SUCCESS] nonebot | 2026-02-22 23:18:07 [SUCCESS] nonebot | Succeeded to load plugin "nonebot_plugin_mbtistats"
2026-02-22 23:18:07 [SUCCESS] nonebot | 2026-02-22 23:18:07 [SUCCESS] nonebot | Succeeded to load plugin "nonebot_plugin_questionmark"
2026-02-22 23:18:07 [SUCCESS] nonebot | 2026-02-22 23:18:07 [SUCCESS] nonebot | Succeeded to load plugin "nonebot_plugin_saa"
2026-02-22 23:18:08 [SUCCESS] nonebot | 2026-02-22 23:18:08 [SUCCESS] nonebot | Succeeded to load plugin "nonebot_plugin_analysis_bilibili"
2026-02-22 23:18:08 [SUCCESS] nonebot | 2026-02-22 23:18:08 [SUCCESS] nonebot | Succeeded to load plugin "single_session" from "nonebot.plugins.single_session"
2026-02-22 23:18:08 [INFO] __main__ | 2026-02-22 23:18:08 [INFO] __main__ | Loading plugins from plugins directory...
2026-02-22 23:18:08 [SUCCESS] nonebot | 2026-02-22 23:18:08 [SUCCESS] nonebot | Succeeded to load plugin "recall_plugin" from "plugins.recall_plugin"
2026-02-22 23:18:08 [SUCCESS] nonebot | 2026-02-22 23:18:08 [SUCCESS] nonebot | Succeeded to load plugin "timer_plugin" from "plugins.timer_plugin"
2026-02-22 23:18:09 [SUCCESS] nonebot | 2026-02-22 23:18:09 [SUCCESS] nonebot | Succeeded to load plugin "ai_chat_plugin" from "plugins.ai_chat_plugin"
2026-02-22 23:18:09 [SUCCESS] nonebot | 2026-02-22 23:18:09 [SUCCESS] nonebot | Succeeded to load plugin "eval_plugin" from "plugins.eval_plugin"
2026-02-22 23:18:09 [INFO] __main__ | 2026-02-22 23:18:09 [INFO] __main__ | Plugins loaded!
2026-02-22 23:18:09 [SUCCESS] nonebot | 2026-02-22 23:18:09 [SUCCESS] nonebot | Running NoneBot...
2026-02-22 23:18:09 [SUCCESS] nonebot | 2026-02-22 23:18:09 [SUCCESS] nonebot | Loaded adapters: QQ, Console
2026-02-22 23:18:09 [INFO] uvicorn | 2026-02-22 23:18:09 [INFO] uvicorn | Started server process [18276]
2026-02-22 23:18:09 [INFO] uvicorn | 2026-02-22 23:18:09 [INFO] uvicorn | Waiting for application startup.
